"state","totalExpVote","totalVote","timeStamp","vote_Harris","vote_Trump","NAME","vote_Other","pctExpVote","pct_Harris","pct_Trump","ts_pretty","fips","leader","at_least_20pct_in","leader_margin","leader_margin_safe","leader_margin_abs","ak_district"
"AR",0,0,1-01-01,0,0,"Greene County, Arkansas",0,0,NA,NA,"No voting data yet","05055","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Hempstead County, Arkansas",0,0,NA,NA,"No voting data yet","05057","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Hot Spring County, Arkansas",0,0,NA,NA,"No voting data yet","05059","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Howard County, Arkansas",0,0,NA,NA,"No voting data yet","05061","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Independence County, Arkansas",0,0,NA,NA,"No voting data yet","05063","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Izard County, Arkansas",0,0,NA,NA,"No voting data yet","05065","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Jackson County, Arkansas",0,0,NA,NA,"No voting data yet","05067","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Jefferson County, Arkansas",0,0,NA,NA,"No voting data yet","05069","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Johnson County, Arkansas",0,0,NA,NA,"No voting data yet","05071","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Lafayette County, Arkansas",0,0,NA,NA,"No voting data yet","05073","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Lawrence County, Arkansas",0,0,NA,NA,"No voting data yet","05075","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Lee County, Arkansas",0,0,NA,NA,"No voting data yet","05077","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Lincoln County, Arkansas",0,0,NA,NA,"No voting data yet","05079","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Little River County, Arkansas",0,0,NA,NA,"No voting data yet","05081","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Logan County, Arkansas",0,0,NA,NA,"No voting data yet","05083","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Lonoke County, Arkansas",0,0,NA,NA,"No voting data yet","05085","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Madison County, Arkansas",0,0,NA,NA,"No voting data yet","05087","NA","lessThan20pctIn",NA,NA,NA,NA
"AR",0,0,1-01-01,0,0,"Marion County, Arkansas",0,0,NA,NA,"No voting data yet","05089","NA","lessThan20pctIn",NA,NA,NA,NA
